sku,brand,brand_source,product_type,variant,category,raw_name
152547,Desafio,lookup,Palillero,12 u 50 u,Limpieza,Palillero Desafio 12 u 50 u
161376,Bariloche,lookup,Huevo de Pascua,De Chocolate con Leche 2 u,Fiestas,Huevo de pascua Bariloche de chocolate con leche 2 u 22 gr
161384,Bariloche,lookup,Huevo de Pascua,60/,Fiestas,Huevo de pascua Bariloche 60/70 gr
161385,Bariloche,lookup,Huevo de Pascua,Sorpresa,Fiestas,Huevo de pascua Bariloche sorpresa 70 gr
163510,Desmaquillante,heuristic,Toallita,Nivea Micelar 25 u,Perfumeria,Toallita desmaquillante Nivea micelar 25 u
17500435144848,Astra,lookup,Maquina Afeitar,,Perfumeria,Maquina afeitar Astra
176491,Molido LA,heuristic,Cafe,Planta de Cafe,Almacen,Cafe molido La Planta de Cafe 250 gr
17790250061134,Elite,lookup,Papel Higienico,Plus Hoja Simple 4u 300 Mt,Limpieza,Papel higienico Elite plus hoja simple 4u 300 mt
17790250062643,Elite,lookup,Bobina,Plus Doble Hoja 2u 400mt,Limpieza,Bobina ELITE plus doble hoja 2u 400mt
17791519000314,Prime,lookup,Preservativo,Mita 12 u,Perfumeria,Preservativo Prime mita 12 u
17793554062692,Papel,heuristic,Toalla,Elite Plus 10 u,Limpieza,Toalla de papel Elite plus 10 x 250 u
20070330129621,Bic,lookup,Boligrafo,Cristal Azul,Bebes Y Niños,Boligrafo Bic cristal azul
20070330129669,Grafo,heuristic,Boli,Bic Cristal Ne Gro,Bebes Y Niños,Boli grafo Bic cristal ne gro
2049881,Bonux,heuristic,Palillero,50 u,Limpieza,Palillero Bonux 50 u
20648260545325,Bols,lookup,Ecologica,Reutilizable Verde 4540,Limpieza,BOLSA ECOLOGICA reutilizable verde 4540
20648260545332,Bols,lookup,Ecologica,Reutiliz.amar. 4540 Cm,Limpieza,BOLSA ECOLOGICA reutiliz.amar. 4540 cm
20648260545349,Bols,lookup,Ecologica,Recicla Roja 4540 Cm,Limpieza,BOLSA ECOLOGICA recicla roja 4540 cm
3014260019723,Oral-b,heuristic,Cepillo Dental,Kids Mickey Suave,Perfumeria,Cepillo dental Oral-B kids mickey suave
3014260273903,Gillete,lookup,Foamy,Regular,Perfumeria,Foamy Gillete regular 312 gr
3014260273910,Gillete,lookup,Foamy,Menthol,Perfumeria,Foamy Gillete menthol 312 gr
3086123646278,Bic,lookup,Encendedor,Ez Reach u,Limpieza,Encendedor Bic ez reach x 16 u
3154140632106,Maped,heuristic,Sacapuntas,Boogy 3 u,Bebes Y Niños,Sacapuntas Maped boogy 3 u
3154140922115,Maped,heuristic,Cutter,9mm,Bebes Y Niños,Cutter Maped 9mm
3154142427939,Trazado,heuristic,Kit,Maped 3 Piezas 20 Cm,Bebes Y Niños,Kit trazado Maped 3 piezas 20 cm
3154148457237,Mar,lookup,Maped,Color Peps Ocean 6 u,Bebes Y Niños,Marcadores Maped Color Peps ocean 6 u
3154148490104,Mar,lookup,Maped,Color Peps Duo 10 u,Bebes Y Niños,Marcadores Maped Color Peps duo 10 u
3154148610113,Maped,heuristic,Crayoner,Wax 12 u,Bebes Y Niños,Crayoner Maped wax 12 u
3270220000167,Bic,lookup,Lapiz,Evolution Grafito 4 u,Bebes Y Niños,Lapiz Bic evolution  grafito  4 u
35000689610,Colgate,lookup,Cepillo Dental,Mawhite 4 u,Perfumeria,Cepillo dental Colgate mawhite 4 u
3614225108716,Koleston,lookup,Tintura,Kit 28 Negro Azulado,Perfumeria,Tintura Koleston kit 28 negro azulado
3614225108877,Koleston,lookup,Tintura,Kit 70 Rubio Mediano,Perfumeria,Tintura Koleston kit 70 rubio mediano
3614228298742,Soft,heuristic,Tintura,Color Kit 73 Rubio Avellana,Perfumeria,Tintura Soft color kit 73 rubio avellana
3614228298957,Soft,heuristic,Tintura,Color Kit 7745 Granada Intense,Perfumeria,Tintura Soft color kit 7745 granada intense
4005800137556,Nivea,lookup,Crema,En,Perfumeria,Crema Nivea en lata 150 ml
4005800137679,Nivea,lookup,Crema,En,Perfumeria,Crema Nivea en lata 60 ml
4005808229123,Afeitar,heuristic,Gel,Nivea Sensitive,Perfumeria,Gel afeitar Nivea sensitive 200 ml
4005808257553,Nivea,lookup,Antitranspirante,Men Dry Roll-on,Perfumeria,Antitranspirante Nivea Men dry roll-on 50 ml
4005808257584,Nivea,lookup,Antitranspirante,Dry Roll-on,Perfumeria,Antitranspirante Nivea dry roll-on 50 ml
4005808257621,Nivea,lookup,Antitranspirante,Men Sensitive Roll-on,Perfumeria,Antitranspirante Nivea Men sensitive roll-on 50 ml
4005808257669,Nivea,lookup,Antitranspirante,Pearl & Beauty Roll-on,Perfumeria,Antitranspirante Nivea pearl & beauty roll-on 50 ml
4005808315093,Nivea,lookup,Crema,Body Milk Nutritiva,Perfumeria,Crema Nivea Body milk nutritiva 250 ml
4005808319695,Nivea,lookup,Crema,Body Milk Nutritiva,Perfumeria,Crema Nivea Body milk nutritiva 400 ml
4005808524105,Pedico,heuristic,Polvo,Curitas Foot Defense X150ml,Perfumeria,Polvo pedico Curitas foot defense x150ml
4005808890590,Nivea,lookup,Crema,Soft en,Perfumeria,Crema Nivea Soft en pote 100 ml
4005808979677,Nivea,lookup,Antitranspirante,Men Dry Fresh Active,Perfumeria,Antitranspirante Nivea Men dry fresh active 150 ml
4005808979813,Nivea,lookup,Antitranspirante,Invisible Black&white Clear/fresh Aerosol,Perfumeria,Antitranspirante Nivea invisible black&white clear/fresh aerosol 150 gr
4005808980239,Nivea,lookup,Antitranspirante,Men Invisible Black&white Original Aerosol,Perfumeria,Antitranspirante Nivea Men invisible black&white original aerosol 150 gr
4005900036704,Nivea,lookup,Antitranspirante,Invisible Black&white Clear Roll-on,Perfumeria,Antitranspirante Nivea invisible black&white clear roll-on 50 ml
4005900036759,Nivea,lookup,Antitranspirante,Invisible Black&white Power Roll-on,Perfumeria,Antitranspirante Nivea invisible black&white power roll-on 50 ml
4005900122186,Nivea,lookup,Antitranspirante,Protect & Care Aerosol,Perfumeria,Antitranspirante Nivea protect & care aerosol 150 ml
4005900130785,Nivea,lookup,Antitranspirante,Protect & Care Roll-on,Perfumeria,Antitranspirante Nivea protect & care roll-on 50 ml
4005900353054,Nivea,lookup,Antitranspirante,Men Protect & Care Aerosol,Perfumeria,Antitranspirante Nivea Men protect & care aerosol 150 ml
4005900773821,Micelar,heuristic,Agua,Nivea Rose Care,Perfumeria,Agua micelar Nivea rose care 200 ml
4005900806154,Nivea,lookup,Crema,Gel Hidratante Rose Care,Perfumeria,Crema Nivea gel hidratante rose care 50 ml
4005900985811,Desmaquillante,heuristic,Toallita,Nivea Suave 25 u,Perfumeria,Toallita desmaquillante Nivea suave 25 u
4006000016740,Pro,lookup,Solar,Nivea Baby Kids F65,Perfumeria,Protector solar Nivea baby kids f65 200 ml
4006000040356,Nivea,lookup,Crema,Body Hid Express 5en1,Perfumeria,Crema Nivea Body hid express 5en1 250 ml
4006000040417,Nivea,lookup,Crema,Body Manteca de Karité,Perfumeria,Crema Nivea Body manteca de karité 250 ml
4006000040424,Nivea,lookup,Crema,Body Manteca de Karite,Perfumeria,Crema Nivea Body manteca de karite 400 ml
4006000050171,Nivea,lookup,Jabon,Creme Care Cremoso,Perfumeria,Jabon Nivea creme care cremoso 125 gr
4006000050188,Nivea,lookup,Jabon,Creme Care Cremoso 3 u,Perfumeria,Jabon Nivea creme care cremoso 3 u 125 gr
4006000120294,Nivea,lookup,Crema,Body Milk Nutritiva Rapida Absorcion,Perfumeria,Crema Nivea Body milk nutritiva rapida absorcion 125 ml
4006000196091,Nivea,lookup,Antitranspirante,Men Deep Darkood Aerosol,Perfumeria,Antitranspirante Nivea Men deep darkood aerosol 150 ml
4054500111229,Eichbaum,heuristic,Cerveza,Premium Pilsner X,Bebidas,Cerveza Eichbaum premium pilsner x 500cc
4058075426634,Ledvance,heuristic,Reflector,10w/1200lm,Ferreteria Y Automotor,Reflector Ledvance 10w/1200lm
4058075588899,Emergencia,heuristic,Luz,Ledvance Light 2w 765,Ferreteria Y Automotor,Luz emergencia Ledvance light 2w 765
4058075776401,Led,heuristic,Lampara,Ledvance Classic 5.5w Luz Calida,Ferreteria Y Automotor,Lampara led ledvance classic 5.5w luz calida
4058075776432,Led,heuristic,Lampara,Ledvance Classic 5.5w Luz Fria,Ferreteria Y Automotor,Lampara led ledvance classic  5.5w luz fria
4058075776456,Led,heuristic,Lampara,Ledvance Classic 7w Luz Calida,Ferreteria Y Automotor,Lampara led Ledvance classic 7w luz calida
4058075776470,Led,heuristic,Lampara,Ledvance Classic 7w Luz Fria,Ferreteria Y Automotor,Lampara led ledvance classic 7w luz fria
4058075776494,Led,heuristic,Lampara,Ledvance Classic 9w Luz Calida,Ferreteria Y Automotor,Lampara led Ledvance classic 9w luz calida
4058075776517,Led,heuristic,Lampara,Ledvance Classic 9w Luz Fria,Ferreteria Y Automotor,Lampara led Ledvance classic 9w luz fria
4058075776531,Led,heuristic,Lampara,Ledvance Classic 12w Luz Calida,Ferreteria Y Automotor,Lampara led Ledvance classic 12w luz calida
4058075776555,Led,heuristic,Lampara,Ledvance Classic 12w Luz Fria,Ferreteria Y Automotor,Lampara led Ledvance classic 12w luz fria
4058075776579,Led,heuristic,Lampara,Ledvance Classic 14w Luz Calida,Ferreteria Y Automotor,Lampara led Ledvance classic 14w luz calida
4058075776593,Led,heuristic,Lampara,Ledvance Classic 14w Luz Fria,Ferreteria Y Automotor,Lampara led Ledvance classic 14w luz fria
4058075776647,Led,heuristic,Lampara,Ledvance Classic 9w 2 Ufria,Ferreteria Y Automotor,Lampara led ledvance classic 9w 2 ufria
4058075776685,Led,heuristic,Lampara,Ledvance Classic 9w Fria 3 u,Ferreteria Y Automotor,Lampara led ledvance classic 9w fria 3 u
4058075784840,Ledvance,heuristic,Lámpara,Led Gu10 Par16 7w/830 Eco,Ferreteria Y Automotor,Lámpara ledvance led gu10 par16 7w/830 eco
4058075784901,Ledvance,heuristic,Lámpara,Led Gu10 Par16 7w/865 Eco,Ferreteria Y Automotor,Lámpara Ledvance led gu10 par16 7w/865 eco
