brand,brand_source,products_count,unique_names_count,sample_1,sample_2,sample_3
S&p,heuristic,79,79,Adobo S&P para pizza 25 gr,Aji S&P molido 25 gr,Almohaditas S&P relleno  frutilla 200 gr
Dove,lookup,75,75,Acondicionador Dove aregeneracion etrema 400 ml,Acondicionador Dove bond intense repair 250 ml,Acondicionador Dove brillo 400 ml
Ace,lookup,68,68,Aceite  oliva La Toscana ajo  botella250 cc,Aceite  oliva La Toscana albahaca botella 250 cc,Aceite bebe Johson 100 ml
Sedal,lookup,64,63,Acondicionador Sedal  balance sachet 10 ml,Acondicionador Sedal S.O.S crema balsamo doy pack 300 ml,Acondicionador Sedal ceramidas 190 ml
Rexona,lookup,52,52,Antitranspirante Rexona Clinical extra dry 91 gr,Antitranspirante Rexona Clinical for women barra 48 gr,Antitranspirante Rexona Clinical soft scent 48 gr
Femeninas,heuristic,50,50,Toallas femeninas Always dia suave 16 u,Toallas femeninas Always dia suave 8 u,Toallas femeninas Always noche suave 16 u
Colgate,lookup,50,50,Cepillo dental Colgate 360 promo 21,Cepillo dental Colgate Premier 1 u,Cepillo dental Colgate clasico suave
Cif,lookup,48,48,Ballerina Cif multiuso,Desinfectante Cif floral aerosol 360 cc,Desinfectante Cif frescura citrica aerosol 360 cc
Bols,lookup,46,46,BOLSA ECOLOGICA amigos 6040 cm,BOLSA ECOLOGICA recicla roja 4540 cm,BOLSA ECOLOGICA reutiliz.amar. 4540 cm
Pro,lookup,46,46,Aperitivo PRONTO SHAKE x1lt,Aperitivo Pronto Shake lata 473 cc,Aperitivo Pronto bitt lata 473 cc
Para,heuristic,44,44,Alimento para Gato Whiskas sabor carne gatitos pouch 85 gr,Alimento para gato Cat Chow adu ltos pescado sobre 85 gr,Alimento para gato Cat Chow adu ltos pollo sobre 85 gr
Polvo,heuristic,41,41,Helado en polvo Exquisita vainilla 52/55 gr,Jugo en polvo Arcor anana 15 g,Jugo en polvo Arcor limonada 18/20 gr
Ala,lookup,41,41,Desodorante Alagabo polvo suave rosa 180 gr,Jabon Ala Camellito Matic ropa fina doy pack 450 cc,Jabon Ala Camellito Matic ropa fina doy pack 900 cc
Poett,lookup,40,40,Canasta Poett pastillas surtidas  aparato,Canasta Poett pastillas surtidas repuesto,Desinfectante Poett flores primavera 900 ml
Ayudin,lookup,38,38,Desinfectante Ayudin bebe aerosol 332 cc,Desinfectante Ayudin matinal aerosol 332 cc,Desinfectante Ayudin original aerosol 332 cc
Bonux,heuristic,37,37,Esponja Bonux cuadraditos,Esponja Bonux rollito acero 42 gr c/u 6 u,Esponja Bonux rollito acero 70 grc/u 10 u
Plusbelle,lookup,37,37,Acondicionador Plusbelle brillo luminoso 1 lt,Acondicionador Plusbelle esencia brillo 700 ml,Acondicionador Plusbelle esencia brillo perfecto 700mll
Kevin,lookup,31,31,After shave Kevin 60 ml,Antitranspirante Kevin black 177 gr,Antitranspirante Kevin u ltra seco sin alcohol 177 gr
Ciel,lookup,30,30,Colonia Ciel 250 ml,Colonia Ciel Shine 250 ml,Colonia Ciel eau de cologne crystal 250 ml
Nivea,lookup,29,29,After shave Nivea Men balsamo sensitive 100 ml,Antitranspirante Nivea Men deep darkood aerosol 150 ml,Antitranspirante Nivea Men derma control sensitive aerosol 150 ml
Ambiente,heuristic,26,25,Aromatizante ambiente Glade Automatico caricias de algodon repuesto 175 gr,Aromatizante ambiente Glade Automatico lavanda vainilla repuesto 175 gr,Aromatizante ambiente Glade Automatico paraiso azul repuesto 175 gr
Babysec,lookup,25,25,Pañal BABYSEC Ultra Soft jumbo G x60u,Pañal Babysec Premium Flexible hiper XG 32/36 u,Pañal Babysec Premium hiper G 40/44 u
Knorr,lookup,24,24,Caldo Knorr carne deshidratado 12 u,Caldo Knorr carne deshidratado 2 u,Caldo Knorr gallina deshidratada 2 u
Tresemme,lookup,24,24,Acondicionador Tresemme brillo lamelar 500 ml,Acondicionador Tresemme brillo lamelar 880 ml,Acondicionador Tresemme caut reparadora 250 ml
Pascua,heuristic,23,23,Conejo de pascua Bariloche de chocolate 36 gr,Conejo de pascua Bariloche de chocolate 96 gr,Conejo de pascua Bon o BON blanco 50 gr
Saborizada,heuristic,23,23,Agua saborizada Aquarius manzana 2.25 lt,Agua saborizada Aquarius naranja 1.5 lt,Agua saborizada Aquarius pera 1.5 lt
Procenex,lookup,23,23,Limpiador Procenex  fragancia jazmin 1.8 lt,Limpiador Procenex  fragancia lavanda 900 cc,Limpiador Procenex baÃ±o espuma activa doy pack 420 cc
Arcor,lookup,22,22,Bombones ARCOR el kiosco en casa 246 gr,Calavera Arcor halloween 350 gr,Caramelo ARCOR mix cristales 810 g
Hileret,lookup,22,22,Azucar Hileret light 250 gr,Azucar Hileret light 500 gr,Edulcorante Hileret Stevia en sobre 100 u
Algabo,lookup,21,21,Acondicionador Algabo Zero piojos x 500 ml,Acondicionador Algabo baby extra suave x 444 ml,Acondicionador Algabo baby manzanilla x 444 ml
