sku,parsed_brand,brand_source,product_type,variant,candidate_brand_in_name,raw_name
7798320518314,Generico,generico,Espumadera,,,ESPUMADERA
7798320518338,Generico,generico,Pisapapa,,,PISAPAPA
7790503000166,00000,heuristic,Arroz,Largo Fino Dos Hermanos,,Arroz 00000 largo fino Dos hermanos 5 kg
7797941200042,11,heuristic,Tender,Varillas,,TENDER 11 varillas
7798342710710,2,heuristic,Escurreplatos,Estantes,,Escurreplatos 2 estantes
7798426251818,2,heuristic,Set,Lanzadores con 6 Dardos,,Set 2 lanzadores con 6 dardos
7798426251900,2,heuristic,Escurreplatos,Estantes Deluxe,,Escurreplatos 2 estantes deluxe
7790260002076,3,heuristic,Licor,Plumas Cafe al Cognacs,,Licor 3 Plumas cafe al cognacs 750 cc
7790260013065,3,heuristic,Licor,Plumas Chocolate,,Licor 3 Plumas chocolate 700 cc
7790260013324,3,heuristic,Licor,Plumas Melon X700cc,,Licor 3 Plumas melon x700cc
7790260016011,3,heuristic,Licor,Plumas Seco X930cc,,Licor 3 Plumas seco x930cc
7792321003138,317,heuristic,Tintura,Kit 0.11 Negro Azulado,,Tintura 317 kit 0.11 negro azulado
7792321003145,317,heuristic,Tintura,Kit 1 Negro Intenso,,Tintura 317 kit 1 negro intenso
7792321003152,317,heuristic,Tintura,Kit 3 Castaño Oscuro,,Tintura 317 kit 3 castaño oscuro
7792321003169,317,heuristic,Tintura,Kit 4 Castaño,,Tintura 317 kit 4 castaño
7792321003176,317,heuristic,Tintura,Kit 5 Castaño Claro,,Tintura 317 kit 5 castaño claro
7792321003183,317,heuristic,Tintura,Kit N6 Rubio Oscuro,,Tintura 317 kit N6 rubio oscuro
7792321003190,317,heuristic,Tintura,Kit 7 Rubio,,Tintura 317 kit 7 rubio
7792321003206,317,heuristic,Tintura,Kit 8 Rubio Claro,,Tintura 317 kit 8 rubio claro
7792321003244,317,heuristic,Tintura,Kit 7.1 Rubio Ceniza,,Tintura 317 kit 7.1 rubio ceniza
7792321003268,317,heuristic,Tintura,Kit 9.1 Rubio Claro Ceniza,,Tintura 317 kit 9.1 rubio claro ceniza
7792321003275,317,heuristic,Tintura,Kit 10.1 Platino,,Tintura 317 kit 10.1 platino
7792321003527,317,heuristic,Tintura,Kit 0.5 Rojo Fuego,,Tintura 317 kit 0.5 rojo fuego
7790150586044,4,heuristic,Salsa,Quesos Alicante,ALICANTE,Salsa 4 quesos Alicante 37 gr
7797599232112,5,heuristic,Granola,Semillas,,Granola 5 semillas 1 kg
7797941200028,9,heuristic,Tender,Varillas con Alas,,TENDER 9 varillas con alas
7792180146120,9de,heuristic,Crujitas,Oro Cebolla y Crema,,Crujitas 9de oro cebolla y crema 120 g
7791600721152,Aa,heuristic,Desodorante,Glam Aerosol,,Desodorante Aa Glam aerosol 123 ml
