+------------------------------------------------------------------------+----------------------+--------------------------------+----------------------------------------+-------------+---------------------------------------------------------------------------------+
| Nombre                                                                 | Marca                | Tipo                           | Variante                               | Tamaño      | Categoría                                                                       |
+------------------------------------------------------------------------+----------------------+--------------------------------+----------------------------------------+-------------+---------------------------------------------------------------------------------+
| ABRELATA SIMONAGGIO ACERO                                              | Simonaggio           | Abrelatas                      | Acero                                  |             | Hogar Y Bazar > Articulos De Cocina > Utensilios Y Accesorios                   |
| ABRELATAS ILKO MARIPOSA                                                | Ilko                 | Abrelatas                      | Mariposa                               |             | Hogar Y Bazar > Articulos De Cocina > Utensilios Y Accesorios                   |
| ABRELATAS ILKO UÑA                                                     | Ilko                 | Abrelatas                      | Uña                                    |             | Hogar Y Bazar > Articulos De Cocina > Utensilios Y Accesorios                   |
| ABRILLANTADOR FINISH 400 ML                                            | Finish               | Abrillantador                  |                                        | 400 ml      | Limpieza > Cocina > Detergentes Y Lavavajillas                                  |
| ABRILLANTADOR SUN 500 CC                                               | Sun                  | Abrillantador                  |                                        | 500 ml      | Limpieza > Cocina > Detergentes Y Lavavajillas                                  |
| ACEITE ARCOR MAIZ 900 ML                                               | Arcor                | Aceite                         | Maiz                                   | 900 ml      | Almacen > Aceites Y Vinagres > Aceites                                          |
| ACEITE CANUELAS GIRASOL 1.5 LT                                         | Cañuelas             | Aceite                         | Girasol                                | 1.5 l       | Almacen > Aceites Y Vinagres > Aceites                                          |
| ACEITE CANUELAS GIRASOL 5 LT                                           | Cañuelas             | Aceite                         | Girasol                                | 5 l         | Almacen > Aceites Y Vinagres > Aceites                                          |
| ACEITE CANUELAS GIRASOL 900 CC                                         | Cañuelas             | Aceite                         | Girasol                                | 900 ml      | Almacen > Aceites Y Vinagres > Aceites                                          |
| ACEITE CAÑUELAS OLIVA CLASICO LATA 500 CC                              | Cañuelas             | Aceite                         | Oliva Clasico                          | 500 ml      | Almacen > Aceites Y Vinagres > Aceites                                          |
