+----------------------------------------------------------------------------+-------------------------+-----------------------------+-------------------------------------------------+---------+--------------------------------+
| Nombre                                                                     | Marca                   | Tipo                        | Variante                                        | Tamaño  | Categoría                      |
+----------------------------------------------------------------------------+-------------------------+-----------------------------+-------------------------------------------------+---------+--------------------------------+
| 100 DUCADOS  Budín Chocolate C/Chips Choc. 300 G                           | 100 DUCADOS             | Budín                       | Chocolate C/Chips Choc.                         | 300 g   | Budines Y Pan Dulce            |
| 100 DUCADOS  Budín Dulce De Leche Con Chips De Dulce De Leche 300 G        | 100 DUCADOS             | Budín                       | Dulce De Leche Con Chips De Dulce De Leche      | 300 g   | Budines Y Pan Dulce            |
| 100 DUCADOS  Budín Gales Con Cerezas, Nuez Y Casc 300 G                    | 100 DUCADOS             | Budín                       | Gales Con Cerezas, Nuez Y Casc                  | 300 g   | Budines Y Pan Dulce            |
| 100 DUCADOS  Budín Limón Con Semillas De Amapola 300 G                     | 100 DUCADOS             | Budín                       | Limón Con Semillas De Amapola                   | 300 g   | Budines Y Pan Dulce            |
| 100 DUCADOS  Budín Premium Vain.C/Merm.Frutos 300 G                        | 100 DUCADOS             | Budín                       | Premium Vain.C/Merm.Frutos                      | 300 g   | Budines Y Pan Dulce            |
| 100 DUCADOS  Budín Premium Vain.C/Merm.Manz. 300 G                         | 100 DUCADOS             | Budín                       | Premium Vain.C/Merm.Manz.                       | 300 g   | Budines Y Pan Dulce            |
| 100 DUCADOS  Budín Premium Vain.Rell.Ddleche 300 G                         | 100 DUCADOS             | Budín                       | Premium Vain.Rell.Ddleche                       | 300 g   | Budines Y Pan Dulce            |
| 100 DUCADOS  Budín Premium Vain.Rell.Marroc 300 G                          | 100 DUCADOS             | Budín                       | Premium Vain.Rell.Marroc                        | 300 g   | Budines Y Pan Dulce            |
| 100 DUCADOS  Budín Vainilla C/Fr.Secas 300 G                               | 100 DUCADOS             | Budín                       | Vainilla C/Fr.Secas                             | 300 g   | Budines Y Pan Dulce            |
| 100 DUCADOS  Budín Vitality Con Semillas Y Cereales 300 G                  | 100 DUCADOS             | Budín                       | Vitality Con Semillas Y Cereales                | 300 g   | Budines Y Pan Dulce            |
| 1882  Fernet   1 Lts                                                       | 1882                    | Fernet                      |                                                 | 1 l     | Aperitivos                     |
| 1882  Fernet   450 Ml                                                      | 1882                    | Fernet                      |                                                 | 450 ml  | Aperitivos                     |
| 1882  Fernet Con Cola  473 Ml                                              | 1882                    | Fernet                      | Con Cola                                        | 473 ml  | Aperitivos                     |
| 3 PLUMAS  Licor   930 Ml                                                   | 3 PLUMAS                | Licor                       |                                                 | 930 ml  | Licores                        |
| 3 PLUMAS  Licor Banana  700 Ml                                             | 3 PLUMAS                | Licor                       | Banana                                          | 700 ml  | Licores                        |
| 3 PLUMAS  Licor Blue Curacao  700 Ml                                       | 3 PLUMAS                | Licor                       | Blue Curacao                                    | 700 ml  | Licores                        |
| 3 PLUMAS  Licor Cacao  700 Ml                                              | 3 PLUMAS                | Licor                       | Cacao                                           | 700 ml  | Licores                        |
