+-----------------------------------------------------+----------------------+----------------------------+------------------------------------+-------------------+-----------+
| Nombre                                              | Marca                | Tipo                       | Variante                           | Tamaño            | Categoría |
+-----------------------------------------------------+----------------------+----------------------------+------------------------------------+-------------------+-----------+
| Aceite CAÑUELAS Girasol  1,5 l                      | Cañuelas             | Aceite                     | Girasol                            | 1.5 l             | 1_101     |
| Aceite CAÑUELAS Girasol  900 c                      | Cañuelas             | Aceite                     | Girasol                            | 900 ml            | 1_101     |
| Aceite CASALIVA Girasol  1,5 l                      | Casaliva             | Aceite                     | Girasol                            | 1.5 l             | 1_101     |
| Aceite CASALIVA Girasol  5 l                        | Casaliva             | Aceite                     | Girasol                            | 5 l               | 1_101     |
| Aceite CASALIVA Girasol  900 c                      | Casaliva             | Aceite                     | Girasol                            | 900 ml            | 1_101     |
| Aceite CASALIVA Mezcla  900 c                       | Casaliva             | Aceite                     | Mezcla                             | 900 ml            | 1_101     |
| Aceite COCINERO Fritolim   Clasico 120 c            | Cocinero             | Aceite                     | Fritolim Clasico                   | 120 ml            | 1_101     |
| Aceite COCINERO Girasol  1,5 l                      | Cocinero             | Aceite                     | Girasol                            | 1.5 l             | 1_101     |
| Aceite COCINERO Girasol  900 c                      | Cocinero             | Aceite                     | Girasol                            | 900 ml            | 1_101     |
| Aceite COCINERO Mezcla  1,5 l                       | Cocinero             | Aceite                     | Mezcla                             | 1.5 l             | 1_101     |
| Aceite COCINERO Mezcla  900 c                       | Cocinero             | Aceite                     | Mezcla                             | 900 ml            | 1_101     |
| Aceite CORAZON Girasol  1.5 l                       | Corazon              | Aceite                     | Girasol                            | 1.5 l             | 1_101     |
| Aceite CORAZON Girasol  5 l                         | Corazon              | Aceite                     | Girasol                            | 5 l               | 1_101     |
| Aceite CORAZON Girasol  900 c                       | Corazon              | Aceite                     | Girasol                            | 900 ml            | 1_101     |
| Aceite LEGITIMO Girasol  1,5 l                      | Legitimo             | Aceite                     | Girasol                            | 1.5 l             | 1_101     |
| Aceite LEGITIMO Girasol  900 c                      | Legitimo             | Aceite                     | Girasol                            | 900 ml            | 1_101     |
| Aceite LIRA Oliva Clasico Lata 500 c                | Lira                 | Aceite                     | Oliva Clasico Lata                 | 500 ml            | 1_101     |
| Aceite MAZOLA Rocio Maiz  120 c                     | Mazola               | Aceite                     | Rocio Maiz                         | 120 ml            | 1_101     |
| Aceite MAZOLA Rocio Manteca  120 c                  | Mazola               | Aceite                     | Rocio Manteca                      | 120 ml            | 1_101     |
| Aceite NATURA Gir-Oliva Blend  1,5 c                | Natura               | Aceite                     | Gir-oliva Blend                    | 1.5 ml            | 1_101     |
| Aceite NATURA Gir-Oliva Blend  900 c                | Natura               | Aceite                     | Gir-oliva Blend                    | 900 ml            | 1_101     |
| Aceite NATURA Girasol  5 l                          | Natura               | Aceite                     | Girasol                            | 5 l               | 1_101     |
| Aceite NATURA Girasol Pet  1,5 l                    | Natura               | Aceite                     | Girasol Pet                        | 1.5 l             | 1_101     |
