name,sku,supplier,category,price_unit,price_bulk,scraped_at
ACEITE ARCOR MAIZ 900 ML,197,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,,,2026-03-06
ACEITE CANUELAS GIRASOL 1.5 LT,219,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,5129.89,4499.90,2026-03-06
ACEITE CANUELAS GIRASOL 5 LT,23583,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,,,2026-03-06
ACEITE CANUELAS GIRASOL 900 CC,218,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,,,2026-03-06
ACEITE CAÑUELAS OLIVA CLASICO LATA 500 CC,20105,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,16529.87,14499.89,2026-03-06
ACEITE CAÑUELAS OLIVA CLASICO PET 500 CC,20104,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,14249.89,12499.90,2026-03-06
ACEITE CAÑUELAS OLIVA INTENSO LATA 500 CC,22150,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,16529.87,14499.89,2026-03-06
ACEITE CAÑUELAS OLIVA INTENSO PET 500 CC,22031,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,14249.89,12499.90,2026-03-06
ACEITE CAÑUELAS OLIVA SUAVE LATA 500 CC,22149,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,,,2026-03-06
ACEITE CAÑUELAS OLIVA SUAVE PET 500 CC,22030,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,14249.89,12499.90,2026-03-06
ACEITE CEBILA OLIVA PET 3 LT,15086,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,,,2026-03-06
ACEITE COCINERO BLEND 500 ML,26334,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,,,2026-03-06
ACEITE COCINERO GIRASOL 1.5 LT,103,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,5129.89,4499.90,2026-03-06
ACEITE COCINERO GIRASOL 900 CC,300,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,3419.89,2999.90,2026-03-06
ACEITE COCINERO GIRASOL BIDON 5 LT,102,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,,,2026-03-06
ACEITE COCINERO MEZCLA 1.5 LT,14857,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,4331.88,3799.90,2026-03-06
ACEITE COCINERO MEZCLA 900 CC,12096,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,2621.88,2299.90,2026-03-06
ACEITE COCINERO OLIVA PET 500 CC,6965,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,,,2026-03-06
ACEITE COCINERO OLIVA SUAVE PET 500 CC,13464,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,,,2026-03-06
ACEITE FRANCESCA OLIVA LATA 500 CC,28435,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,,,2026-03-06
ACEITE FRITOLIM AERO CLASIC 120 cc,72,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,3590.88,3149.90,2026-03-06
ACEITE LA TOSCANA OLIVA 250 CC,28341,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,7067.88,6199.90,2026-03-06
ACEITE LA TOSCANA OLIVA 500 CC,1540,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,14819.89,12999.90,2026-03-06
"ACEITE LEGITIMO GIRASOL 1,5 LT",534,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,5357.88,4699.89,2026-03-06
ACEITE LEGITIMO GIRASOL 900 CC,531,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,3305.88,2899.90,2026-03-06
ACEITE LIRA OLIVA PET 500 ML,27581,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,,,2026-03-06
ACEITE MAROLIO GIRASOL 900 CC,328,maxiconsumo,Almacen > Aceites Y Vinagres > Aceites,2849.88,2499.90,2026-03-06
