+--------------------------------------------------------------------------------------------+--------------------------+---------------------------------+---------------------------------------------------------------------------+------------+------------------------+
| Nombre                                                                                     | Marca                    | Tipo                            | Variante                                                                  | Tamaño     | Categoría              |
+--------------------------------------------------------------------------------------------+--------------------------+---------------------------------+---------------------------------------------------------------------------+------------+------------------------+
| "Cuchilla Tramontina carne premium 8"""                                                    | Tramontina               | "cuchilla                       | Carne Premium 8"""                                                        |            | Bazar Y Hogar          |
| "Smart TV Bgh 43"""                                                                        | Tv                       | "smart                          | Bgh 43"""                                                                 |            | Electro                |
| "Smart TV Bgh 50"""                                                                        | Tv                       | "smart                          | Bgh 50"""                                                                 |            | Electro                |
| "Smart TV Noble 4k 58"""                                                                   | Tv                       | "smart                          | Noble 4k 58"""                                                            |            | Electro                |
| "Smart TV RCA uhd 55"""                                                                    | Tv                       | "smart                          | Rca Uhd 55"""                                                             |            | Electro                |
| "Ventilador de mesa Liliana aspas plasticas 16,5"""                                        | Mesa                     | "ventilador                     | Liliana Aspas Plasticas 16,5"""                                           |            | Electro                |
| "Ventilador de pie Liliana metal 18"""                                                     | Pie                      | "ventilador                     | Liliana Metal 18"""                                                       |            | Electro                |
| "Ventilador de pie Liliana plastico 18"""                                                  | Pie                      | "ventilador                     | Liliana Plastico 18"""                                                    |            | Electro                |
| "Ventilador Liliana turbo reclinable 16"""                                                 | Liliana                  | "ventilador                     | Turbo Reclinable 16"""                                                    |            | Electro                |
| Aceite  oliva La Toscana ajo  botella250 cc                                                | La Toscana               | Aceite Oliva                    | Ajo Botella250 Cc                                                         |            | Almacen                |
| Aceite  oliva La Toscana albahaca botella 250 cc                                           | La Toscana               | Aceite Oliva                    | Albahaca                                                                  | 250 ml     | Almacen                |
| Aceite bebe Johson 100 ml                                                                  | Ace                      | Bebe                            | Johson                                                                    | 100 ml     | Bebes Y Niños          |
| Aceite bebe Johson 200 ml                                                                  | Ace                      | Bebe                            | Johson                                                                    | 200 ml     | Bebes Y Niños          |
| Aceite Fritolim clasico aerosol 120 cc                                                     | Fritolim                 | Aceite                          | Clasico Aerosol                                                           | 120 ml     | Almacen                |
| Aceite Fritolim manteca aerosol 120 cc                                                     | Fritolim                 | Aceite                          | Manteca Aerosol                                                           | 120 ml     | Almacen                |
| Aceite girasol Cañuelas  1.5 lt                                                            | Cañuelas                 | Aceite Girasol                  |                                                                           | 1.5 l      | Almacen                |
| Aceite girasol Cañuelas 5 lt                                                               | Cañuelas                 | Aceite Girasol                  |                                                                           | 5 l        | Almacen                |
| Aceite girasol Cañuelas 900 cc                                                             | Cañuelas                 | Aceite Girasol                  |                                                                           | 900 ml     | Almacen                |
| Aceite girasol Cañuelas rocio vegetal aerosol 150 cc                                       | Cañuelas                 | Aceite Girasol                  | Rocio Vegetal Aerosol                                                     | 150 ml     | Almacen                |
| Aceite girasol Cocinero 1.5 lt                                                             | Cocinero                 | Aceite Girasol                  |                                                                           | 1.5 l      | Almacen                |
| Aceite girasol Cocinero 900 cc                                                             | Cocinero                 | Aceite Girasol                  |                                                                           | 900 ml     | Almacen                |
| Aceite girasol Legitimo 1,5 lt                                                             | Legitimo                 | Aceite Girasol                  |                                                                           | 1.5 l      | Almacen                |
| Aceite girasol Legítimo 3 lt                                                               | Legitimo                 | Aceite Girasol                  |                                                                           | 3 l        | Almacen                |
| Aceite girasol Legitimo 900 ml                                                             | Legitimo                 | Aceite Girasol                  |                                                                           | 900 ml     | Almacen                |
| Aceite girasol Lira  900 cc                                                                | Lira                     | Aceite Girasol                  |                                                                           | 900 ml     | Almacen                |
| Aceite girasol Natura 1.5 lt                                                               | Natura                   | Aceite Girasol                  |                                                                           | 1.5 l      | Almacen                |
| Aceite girasol Natura 3 lt                                                                 | Natura                   | Aceite Girasol                  |                                                                           | 3 l        | Almacen                |
| Aceite girasol Natura 5 lt                                                                 | Natura                   | Aceite Girasol                  |                                                                           | 5 l        | Almacen                |
| Aceite girasol Natura 900 cc                                                               | Natura                   | Aceite Girasol                  |                                                                           | 900 ml     | Almacen                |
| Aceite girasol S&P pet 1.5 lt                                                              | S&p                      | Aceite Girasol                  |                                                                           | 1.5 l      | Almacen                |
| Aceite girasol S&P pet 900 cc                                                              | S&p                      | Aceite Girasol                  |                                                                           | 900 ml     | Almacen                |
| Aceite Lira maiz 900 ml                                                                    | Lira                     | Aceite                          | Maiz                                                                      | 900 ml     | Almacen                |
| Aceite maiz Arcor 900 ml                                                                   | Arcor                    | Aceite Maiz                     |                                                                           | 900 ml     | Almacen                |
| Aceite mezcla Bonmar pet 900 cc                                                            | Bonmar                   | Aceite Mezcla                   |                                                                           | 900 ml     | Almacen                |
| Aceite mezcla Cocinero 1.5 lt                                                              | Cocinero                 | Aceite Mezcla                   |                                                                           | 1.5 l      | Almacen                |
| Aceite mezcla Cocinero 900 cc                                                              | Cocinero                 | Aceite Mezcla                   |                                                                           | 900 ml     | Almacen                |
| Aceite Natura vegetal aerosol 120g                                                         | Natura                   | Aceite                          | Vegetal Aerosol                                                           | 120 g      | Almacen                |
| Aceite oliva A lta Via  botella 500 cc                                                     | Ace                      | O                               | A Lta Via                                                                 | 500 ml     | Almacen                |
| Aceite oliva Cañuelas clasico lata 500                                                     | Cañuelas                 | Aceite Oliva                    | Clasico 500                                                               |            | Almacen                |
| Aceite oliva Cañuelas clasico pet 500 cc                                                   | Cañuelas                 | Aceite Oliva                    | Clasico                                                                   | 500 ml     | Almacen                |
| Aceite oliva Cocinero etra virgen suave 500 ml                                             | Cocinero                 | Aceite Oliva                    | Etra Virgen Suave                                                         | 500 ml     | Almacen                |
| Aceite oliva COOSUR extra virgen 500 ml                                                    | Coosur                   | Aceite Oliva                    | Extra Virgen                                                              | 500 ml     | Almacen                |
| Aceite oliva Ecoliva  5 lt                                                                 | Ecoliva                  | Aceite Oliva                    |                                                                           | 5 l        | Almacen                |
| Aceite oliva Ecoliva 3 lt                                                                  | Ecoliva                  | Aceite Oliva                    |                                                                           | 3 l        | Almacen                |
| Aceite oliva Ecoliva 500 cc                                                                | Ecoliva                  | Aceite Oliva                    |                                                                           | 500 ml     | Almacen                |
| Aceite oliva Morie virgen pet 500 ml                                                       | Mor                      | Aceite Oliva                    | Virgen                                                                    | 500 ml     | Almacen                |
| Aceite oliva Morixe extra virgen pet 500 ml                                                | Morixe                   | Aceite Oliva                    | Extra Virgen                                                              | 500 ml     | Almacen                |
| Aceite oliva Natura andino 500 cc                                                          | Natura                   | Aceite Oliva                    | Andino                                                                    | 500 ml     | Almacen                |
| Aceite oliva Natura fuerte 500 cc                                                          | Natura                   | Aceite Oliva                    | Fuerte                                                                    | 500 ml     | Almacen                |
| Aceite oliva Natura suave 500 cc                                                           | Natura                   | Aceite Oliva                    | Suave                                                                     | 500 ml     | Almacen                |
| Aceite oliva S&P etra virgen pet 500 ml                                                    | S&p                      | Aceite Oliva                    | Etra Virgen                                                               | 500 ml     | Almacen                |
| Aceite vegetal S&P aerosol 120 gr                                                          | S&p                      | Aceite Vegetal                  | Aerosol                                                                   | 120 g      | Almacen                |
| Aceituna negra Castell doy pack 100 gr                                                     | Castell                  | Aceituna Negra                  |                                                                           | 100 g      | Almacen                |
| Aceituna negra CASTELL doy pack 180 gr                                                     | Castell                  | Aceituna Negra                  |                                                                           | 180 g      | Almacen                |
| Aceituna verde Castell balde  x 5 kg                                                       | Castell                  | Aceituna Verde                  | Balde X                                                                   | 5 kg       | Almacen                |
| Aceituna verde Castell descar doy pack 80 gr                                               | Castell                  | Aceituna Verde                  | Descar                                                                    | 80 g       | Almacen                |
| Aceituna verde Castell descarozada doy pack 150 gr                                         | Castell                  | Aceituna Verde                  | Descarozada                                                               | 150 g      | Almacen                |
| Aceituna verde Castell doy pack 100 gr                                                     | Castell                  | Aceituna Verde                  |                                                                           | 100 g      | Almacen                |
| Aceituna verde Castell doy pack 180 gr                                                     | Castell                  | Aceituna Verde                  |                                                                           | 180 g      | Almacen                |
| Aceituna verde Castell en rodajas doy pack 150 gr                                          | Castell                  | Aceituna Verde                  | En Rodajas                                                                | 150 g      | Almacen                |
