# HEURISTIC_BRAND	RAW_NAME
3	GALLETITAS 3 ARROYOS AVENA CHOCOLATE 150 GR
3756	JAMON CRUDO 3756 PERNIL CERDO 1 KG
8m	AUTOBRILLO 8M EXPRESS 5 lt
Acapulco	PALMITO ACAPULCO TROZOS 396 GR
Afeitar	MAQUINA AFEITAR BIC SOLEIL FEMENINAS
Ajenjo	VERMOUT AJENJO ROSSO 750 CC
Ajill	LAVA AJILL ALA ULTRA POMELO 500 ML
Alfajor	HELADO ICE CREAM ALFAJOR 6 un
Almendrado	HELADO ICE CREAM ALMENDRADO 675 gr
Alteza	CHOCOLATE PARA TAZA ALTEZA 90 GR
Altezza	HUEVO DE PASCUA ALTEZZA CON CONFITES 45 GR
Aluminio	MATE ALUMINIO REAL MADERA CON FUNDA DE ALUMINIO
Amarula	LICOR AMARULA 750 ML
Anillos	GALLETITAS ANILLOS 300 GR
Aperol	APERITIVO APEROL 750 CC
Aqua	PLATO AQUA ESMERILADO PLAYO VIDRIO
Arco	BROCHES ARCO IRIS PLASTICO 12 UN
Argentitas	GALLETITAS ARGENTITAS CRACKERS TRIPLE PACK 306 GR
Arriero	VINO ARRIERO BLANCO T.B 1 lt
Asapractic	ESCOBILLON ASAPRACTIC PLANO
Astra	MAQUINA ASTRA FIJA 2 FILO
Baby	CHUPETINES BABY DOLL 12 UN
Baileys	LICOR BAILEYS 750 CC
Ban	BOLSA BAN PLASTICO HORNO 10 UN
Bari	PAN DULCE BARI CON FRUTAS 400 GR
Barny	EDULCORANTE BARNY LIQUIDO 250 CC
Baron	CHAMPAGNE BARON "B" EXTRA BRUT 750 CC
Baron B	CHAMPAGNE BARON  B  ROSE 750 cc
Base DE	ALIMENTO A BASE DE MIEL AXEL 250 GR
Base DE	ALIMENTO A BASE DE MIEL AXEL 500 GR
Base DE	ALIMENTO A BASE DE MIEL DECFA 250 GR
Base DE	ALIMENTO A BASE DE MIEL DECFA 500 GR
Belarom	DESODORANTE PARA INODOROS BELAROM MARINA 60 GR
Bessone	CAPUCCINO BESSONE DOYPACK 120 GR
Biggys	POCHOCLO BIGGYS DULCES Y SALADOS 100 GR
Biyu	PASTILLAS BIYU 20 GR
Blanca	SALSA BLANCA DOS ANCLAS 40 GR
Blancalme	ALMENDRAS BLANCALME PELADAS 100 GR
Blanco	PAN LACTAL BLANCO 315 GR
Blasfemia	VINO BLASFEMIA BLANCO DULCE 269 cc
Blaze	HUEVO BLAZE 20 GR
Block	GALLETITAS BLOCK 124 GR
Blue	FIDEOS BLUE PATNA SPAGHETTI 500 GR
Bombay	GIN BOMBAY SHAPPHIRE 750 CC
Bombon	HELADO ICE CREAM BOMBON ESCOSES 6 un
Borghetti	LICOR BORGHETTI CAFE 700 CC
Brighton	GIN BRIGHTON 700 ML
Buenas Y	YERBA BUENAS Y SANTAS HIERBAS 500 GR
Buhero	FERNET BUHERO 700 ML
Cabaña	JAMON COCIDO CABAÑA TOMAS 1 kg
Cactus	VINO CACTUS BLANCO DULCE 750 CC
Campeche	YERBA CAMPECHE ESPECIAL 500 GR
Capilar	CREMA TRATAMIENTO CAPILAR PLUSBELLE ESENCIA NUTRICION 400 ML
Capitan DE	PONCHE CAPITAN DE CASTILLA 750 CC
Capri	FERNET CAPRI 750 CC
Cars	HUEVO CARS MASKS 20 GR
Cascade	LAVAVAJILLA CASCADE ORIGINAL 25 UN
Catete	HARINA DE MAIZ CATETE FABIOLA 1 KG
Cazalis	APERITIVO CAZALIS 950 CC
Cepa	VINO CEPA TINTO 750 CC
Champagne	GALLETITAS CHAMPAGNE 140 GR
Changuito	PAN CHANGUITO CARNE 340 GR
Chateau	VINO CHATEAU VIEUX BLEND 750 cc
Chelita	MANTECA CHELITA PAN 100 GR
Chicken	CARAMELOS CHICKEN CHAT SURTIDO
Chocolate	HELADO ICE CREAM CHOCOLATE DULCE DE LECHE 500 gr
Chocolate	PASAS DE UVA CON CHOCOLATE AGUILA MAX 120 GR
Chocolina	GALLETITAS CHOCOLINA 100 GR
Cocina	ROLLO COCINA MAROLIO ULTRA 200 UN
Contracara	VINO CONTRACARA MALBEC 750 CC
Corrector	LAPIZ CORRECTOR BIC SHAKEN ESQUEEZE
Cubiertos	PORTA CUBIERTOS COLOMBRARO ENTERIZA GRANDE
Cuernavaca	TEQUILA CUERNAVACA 1 LT
Dagen	CIRUELA DAGEN CON CAROZO 200 GR
Dancing	BOCADITO DANCING SURTIDO 50 UN
Desafio	PALILLEROS DESAFIO 50 UN
Diablo	JAMON DEL DIABLO SWIFT 88 GR
Diversion	GALLETITAS DIVERSION SURTIDO 400 GR
Don Antonino	FIAMBRE DE CERDO DON ANTONINO PATA 1 KG
Don Antonio	PIZZETA DON ANTONIO JAMON Y MUZZARELLA 250 GR
Don Mani	MANI DON MANI TOSTADO 1 KG
Don Nino	QUESO DON NINO RALLADO 30 GR
Don Paolo	GALLETITAS DON PAOLO SURTIDO 300 GR
Don.aurora	MUZZAR. DON.AURORA AHUMADA 500 gr
Dona	AZUCAR DONA DULCE 1 KG
Donga	CARAMELOS DONGA MASTICABLES 670 GR
Doña	GRASA DOÑA FLORA VACA 500 gr
Drastik	LIMPIADOR DRASTIK PARA INODORO 500 CC
Drax	DETERGENTE DRAX ULTRA 5 LT
Dropsy	CARAMELOS DROPSY MASTICABLES 700 GR
Drupi	BOCADITO DRUPI 520 GR
Duquesa	GALLETITAS DUQUESA 115 GR
Dura	PILAS DURA 2X AA 2 UN
E.pollue.	SABORIZADOR E.POLLUE. 100 GR
E.pollue.	SABORIZADOR E.POLLUE. 50 GR
Eccole	ADHESIVO ECCOLE ZAPATILLA 9 GR
El Enemigo	VINO EL ENEMIGO MALBEC 750 CC
El Esteco	VINO EL ESTECO MALBEC 750 cc
Electrico	EXPRIMIDOR ELECTRICO ULTRACOMB 25W
Elegido	VINO ELEGIDO MALBEC 750 CC
Encuentro	VINO ENCUENTRO MALBEC 750 cc
Esmeralda	VINO ESMERALDA FERNANDEZ MALBEC 750 CC
Especias	MEZCLA DE ESPECIAS DOS ANCLAS 25 GR
Estereo	VASO ESTEREO AGUA
Fastix	ADHESIVO FASTIX TRANSPARENTE 25 ML
Feeling	CHOCOLATE FEELING 20 gr
Femenina	TOALLITA FEMENINA SIEMPRE LIBRE ADAPT PLUS SIN ALA 8 UN
Fiesta	MANZANITA FIESTA MOÑO ROJO 1 LT
Fleiscream	CREMA FLEISCREAM VEGETAL VAINILLA 1 LT
Fresita	CHAMPAGNE FRESITA 750 CC
Friar	MEDALLON FRIAR 2X55 gr
Fritas	PAPA FRITAS LAY'S PROVOLETA 77 GR
Fritolim	ACEITE FRITOLIM AERO CLASIC 120 cc
Frutigelat	GOMITAS FRUTIGELAT SAURIUS 25 GR
Full	CHOCOLATE FULL MANI RELLENO 110 GR
Galak	CHOCOLATE GALAK BLANCO 80 GR
Garoto	BOMBON GAROTO 250 GR
Gel	DISPENSER GEL NEW SOFT CARE LINE
Generico	PALANGA GENERICO 6 lt
Generico	ROCIADOR GENERICO PLASTICO 1000 CC
Girasol	SEMILLAS DE GIRASOL PIPAS SNACKS 150 gr
Gomes DE	LOMITO DE ATUN  GOMES DE COSTA ACEITE BAJO SODIO 170 GR
Gomutcho	GOMITAS GOMUTCHO ROLLO 30 UN
Graffitti	CHOCOLATE GRAFFITTI LIMON 45 gr
Gramby	JABON LIQUIDO GRAMBY PARA DILUIR + BOTELLA 500 ML
Granja	MORTADELA GRANJA IRIS x 300 GR
Grill	FREIDORA DE AIRE Y GRILL DIGITAL 6.2 LT 1 UN
Gummi	GOMITAS GUMMI ZONE DOGGIE
Hamburguesa	PAN LACTAL HAMBURGUESA 210 GR
Havana	RON HAVANA AÑEJO ESPECIAL 750 CC
Hellmanns	KETCHUP HELLMANNS 1 KG
Hervidor	JARRO HERVIDOR HUDSON 14 CM 1 UN
Impeke	ESCOBILLON IMPEKE ECONOMICA + CABO
Inodoro	DESODORANTE INODORO PATO CITRUS LIMON 24,5 GR
Insectisol	INSECTICIDA INSECTISOL 77 BASE HIDROCARBUROS 500 CC
Inteligente	CANASTA INTELIGENTE COMBO 4
Irina	PIMIENTA IRINA BLANCA MOLIDA 25 GR
Itati	VELAS ITATI COLOR 16X 190 UN
Jack	CHOCOLATE JACK MONEDA MAFALDA  5 GR
Jackelin	CHOCOLATE JACKELIN 14 gr
Jardin	LIMPIADOR JARDIN CRISTAL MARINA 900 CC
Jc	QUESO JC SARDO FRESCO 1 KG
Jelly	GOMITAS JELLY WHE 800 GR
Julia	CHAMPAGNE JULIA DULCE NATURAL 750 cc
Kelvinator	MICROONDAS KELVINATOR 20 LT
Kesitas	GALLETITAS KESITAS ESTUCHE 125 GR
Kimbies	TOALLITAS HUMEDAS KIMBIES WIPES 48 un
Kitkat	CHOCOLATE KITKAT 41,5 GR
L	DESODORANTE FEMENINO L EXTREME 123 CC
La Babilonia	QUESO LA BABILONIA SARDO 1 KG
La Blanca	MEDALLON LA BLANCA 4 UN
La Blanquita	QUESO LA BLANQUITA RALLADO 30 gr
La Piamontesa	BONDIOLA LA PIAMONTESA ENVASADA AL VACIO 1 KG
La Piñata	GOMITAS LA PIÑATA HUESOS 700 GR
La Ponderosa	REPASADOR LA PONDEROSA CUADRICULADA
La Serenisa	QUESO LA SERENISA CREMON CREMOSO PORCION 1 KG
La Yapa	PASTILL LA YAPA 17 gr
Lababilonia	QUESO LABABILONIA RALLADO 30 GR
Las Marias	YERBA LAS MARIAS ANIVERSARIO LATA 500 GR
Las Vacas	VINO LAS VACAS MALBEC 750 CC
Laser	CHUPETINES LASER POP LINTERNA
Le Sancy	JABON LIQUIDO LE SANCY MIEL Y ALMENDRAS 5 lt
Legui	LICOR LEGUI FINO 750 CC
Lem	LIMPIADOR LEM ESPUMA INSTANTANEA 360 CC
Lenguetazo	CARAMELOS LENGUETAZO TUTTI FRUTTI 32 UN
Leudex	LEVADURA LEUDEX PAN 500 GR
Liebig	YERBA LIEBIG CON PALO 500 KG
Lifebuoy	JABON DE TOCADOR LIFEBUOY NATURE 125 GR
Lipton	TE LIPTON YELLOW LABEL 20 UN
Lira	ACEITE LIRA OLIVA PET 500 ML
Loma	MILANESAS LOMA VERDE SOJA 300 gr
Lopez	VINO LOPEZ CABERNET SAUVIGNON 750 cc
Macucas	GALLETITAS MACUCAS 123 GR
Magica	POLENTA MAGICA 500 GR
Magna	VINO MAGNA MALBEC 750 CC
Magnum	VINO MAGNUM VIÑAS PARRALES TINTO 1.125 CC
Maicitos	SNACK MAICITOS PEHUAMAR 265 GR
Maiz	HARINA MAIZ  PRESTOPRONTA PARA AREPAS 1 kg
Malamado	VINO MALAMADO MALBEC 750 CC
Malibu	RON MALIBU 750 ML
Malizia	VINO MALIZIA MALBEC 750 CC
Mar	ALGODON MAR 140 GR
Marcela	AMERICANO MARCELA 950 CC
Mariposa	GRAPA MARIPOSA PETACA MIEL 200 CC
Mariposa DE	GRAPA MARIPOSA DE MIEL 750 CC
Marlo	VINO MARLO BLANCO DULCE 750 CC
Marques	VINO MARQUES DEL SUR MALBEC 750 CC
Marroc	BOCADITO MARROC 60 UN
Martini	VERMOUTH MARTINI ROSSO 1 LT
Mas	ANTITRANSPIRANTE MAS REXONA ALVAREZ 150 ML
Mas	DESODORANTE MAS AXE AQUA CITRUS 150 ML
Mas	DESODORANTE MAS AXE BLUE 150 ML
Mas	DESODORANTE MAS AXE WHITE VETIVER 150 ML
Masculino	DESODORNTE MASCULINO AXE MUSK 230 ML
Mateando	YERBA MATEANDO 500 GR
Mesa	PAN LACTAL MESA 500 GR
Mi	LEVADURA MI PAN INSTANTANEA 10 GR
Michael	VINO MICHAEL TORINO SELECCION ROSADO 700 CC
Minions	HUEVO MINIONS FACE
Minora	MAQUINA MINORA TWIN
Montchenot	VINO MONTCHENOT PETIT BLEND 750 CC
Mosquitrap	INSECTICIDA MOSQUITRAP MOSCAS Y MOSQUITOS 370 CC
Muebles	REPARADOR DE MUEBLES REX OSCURO 125 CC
Muñeo	VINO MUÑEO REBELDE MALBEC 750 CC
Namur DE	TURRON NAMUR DE MANI
Navarro	CHAMPAGNE NAVARRO CORREAS EXTRA BRUT 750 cc
Navideña	CAJA NAVIDEÑA GENERICO PARA ARMAR AZUL NUMERO 2
Navideña	CAJA NAVIDEÑA GENERICO PARA ARMAR ROJA NUMERO 1
Nesquik	CEREAL NESQUIK FUENTE CALCIO 210 230 GR
Nido	LECHE NIDO 3 200 ml
Nikov	VODKA NIKOV TRADICIONAL 1 LT
Noblex	PARLANTE NOBLEX PORTATIL 45 W 1 UN
Noruega	COPA NORUEGA POSTRE
Numina	VINO NUMINA MALBEC 750 CC
Nutri	CEREAL NUTRI 21 GR
Nutrisur	FID. NUTRISUR CODO 500 gr
Nutritive	ANTITRANSPIRANTE FEMENINO NUTRITIVE ACTIVE X 50 GR
Odorono	JABON DE TOCADOR ODORONO 200 GR
Oslo	VASOS OSLO TRAGO LARGO
Padilla	CAÑA PADILLA DURAZNO 750 ML
Palanca	CAÑA PALANCA 24 GR 1 LT
Palito	HELADO ICE CREAM PALITO BOMBON 6 un
Panchos	PAN LACTAL PANCHOS 210 GR
Paneo	LEVADURA PANEO CUBITO 50 GR
Para	CAJAS PARA ARMAR NAVIDAD
Parodontax	CREMA DENTAL PARODONTAX COMPLETE 126 GR
Pasablanca	PASAS DE UVA PASABLANCA SULTANINA 200 GR
Pascua	HUEVITOS DE PASCUA BONAFIDE RELLENO 252 GR
Pascua	UEVO DE PASCUA COFLER BLOCK 26 GR
Paw	HUEVO PAW PATROL 20 GR
Peppa	HUEVO PEPPA PIG CON SORPRESA 20 gr
Pepsico	CHEETOS PEPSICO QUESO 140 GR
Pera	RECIPIENTE PERA RESIDUOS COLOMBRARO VAIVEN 9 L
Pez	PASTILLAS PEZ VARIOS 1 UN
Phyton	CINTA A PHYTON ALTA RESISTENCIA
Pibes	COLONIA PIBES 80 CC
Pic	BIZCOCHUELO PIC NIC DULCE LECHE 38 gr
Pineral	APERITIVO PINERAL 1 LT
Pitu	CACHASA PITU 1 LT
Pizza	CORTA PIZZA HUDSON INOXIDABLE
Plomero	DESTAPACAÑERIAS PLOMERO LIQUIDO 1 LT
Poxi-ran	ADHESIVO POXI-RAN SIN TOLUENO 23 GR
Poxilina	ADHESIVO POXILINA MASILLA 70 GR
Poxipol	ADHESIVO POXIPOL 10 MINUTOS TRANSPARENTE 14 ML
Primor	MARGARINA PRIMOR MASAS 5 KG
Punt E	APERITIVO PUNT E MES 750 CC
Push	CHUPETIN PUSH POP CHOCOLATE
Quemaita	CAÑA QUEMAITA 950 CC
Rafaello	BOMBON RAFAELLO 3 UN
Ramazzotti	APERITIVO RAMAZZOTTI ROSATO 700 ML
Ranchera	VELAS RANCHERA 120 GR
Ranchito	FECULA RANCHITO MANDIOCA 1 KG
Rapsodia	TORTA RAPSODIA MINI 80 GR
Refresco	PASTILLAS REFRESCO CLASICO 12X26 GR
Reposteria	BAÑO DE REPOSTERIA DOS ANCLAS SEMIAMARGO 150 gr
Reserva	COGNAC RESERVA SAN JUAN 750 cc
Restauración	CREMA PARA PEINAR RESTAURACIÓN 300 ML
Revitalizador	SERUM REVITALIZADOR PANTENE EQUILIBRIO 95 ML
Revlon	SECADOR DE PELO REVLON CON MODELADOR 1 UN
Ricabe	GRASA RICABE VACUNA 1 kg
Ricrem	QUESO RICREM CREMOSO 1 KG
Rigolleau	COPA RIGOLLEAU CHAMPAGNE
Ritz	GALLETITAS RITZ 70 GR
River LA	VINO RIVER LA MAQUINA 750 CC
Rugbee	LIMPIADOR RUGBEE ALFOMBRA 360 CC
Safari	VINO SAFARI MALBEC 750 CC
Salus	YERBA SALUS NATURAL 500 gr
Salvado	PAN LACTAL SALVADO 330 GR
Salvado	PAN LACTAL SALVADO 630 GR
Saquitos	YERBA EN SAQUITOS NOBLEZA GAUCHA 25 un
Seelze	VASO SEELZE AGUA
Selva	HELADO ICE CREAM SELVA NEGRA 575 gr
Semillas	PAN LACTAL SEMILLAS 330 GR
Sempre	FUENTE SEMPRE REDONDO 2.4 LT
Sensei	VINO SENSEI MALBEC 750 CC
Shimmer	HUEVO SHIMMER AND SHINE 20 GR
Sky	VODKA SKY APRICOT 700 ML
Smartwater	AGUA SMARTWATER 1.5 LT
Softcare	ALCOHOL SOFTCARE GEL 800 ML
Sombrero	VINO SOMBRERO MALBEC 750 CC
Soy YO	JUGO SOY YO SOJA MANZANA 1 LT
Spirito	GIN SPIRITO BLUE 700 CC
Super	COMBO SUPER PROMOCION FILM + ALUMINIO
Suter	VINO SUTER ROSE 750 CC
Tau	SALSA TAU DELTA GUACAMOLE 290 GR
Termica	BOTELLA TERMICA TARAGUI
Tide	JABON LIQUIDO TIDE PLUS 16 LAVADOS
Tipo	SALAME TIPO MILAN CHACRA 43 FETEADO 150 GR
Tomateate	EXTRACTO DE TOMATEATE MAROLIO 150 GR
Torta	HELADO ICE CREAM TORTA DULCE DE LECHE 990 gr
Torta	HELADO ICE CREAM TORTA FRUTILLA 990 gr
Toso	CHAMPAGNE TOSO EXTRA BRUT 750 CC
Tostitos	SNACK TOSTITOS ROUNDED 160 GR
Traful	VINO TRAFUL BLANCO 750 CC
Tratamiento	MASCARA DE TRATAMIENTO DOVE REPAIR 250 ML
Trix	CEREAL TRIX FUENTE DE HIERRO 230 gr
Tucuman	VASOS TUCUMAN VIDRIO
Tuki	HAMBURGUESA TUKI ESTUCHE 4 UN
Twist	MALVAVISCO TWIST BARRIL
Vendimiario	VINO VENDIMIARIO MALBEC MENDOZA 750 CC
Veneto	FERNET VENETO 750 CC
Vidacol	YOGHURT VIDACOL MULTIFRUTAS 4X100 GR
View	LIMPIAVIDRIO VIEW AERO 360 CC
Virgen	LEVADURA VIRGEN PAN 500 gr
Vittone	FERNET VITTONE 750 CC
Viturex	BOLSA VITUREX 45X55 20 UN
Voligoma	ADHESIV VOLIGOMA 30 ml
Wd-40	LUBRICANTE WD-40 155 GR
X-5	LAVANDINA X-5 250 ML
X-shot	PISTOLA X-SHOT BLASTS WATER 2 un
Xtreme	CARAMELOS XTREME 25 GR
Yipi	PASTILLAS YIPI 30 GR
Yum	CARAMELOS YUM YUM SURTIDOS 300 GR
Yuspe	BICARBONATO YUSPE CLASICO C 20 GR
Zuccardi	VINO ZUCCARDI SERIE A MALBEC 750 CC
